IDSession,TipoEvento,Valor,Tiempo(s)
12,CheckCiudad,lcb2,227
12,Scroll,3,228
12,Scroll,9,228
12,Scroll,22,228
12,Scroll,50,228
12,Scroll,264,228
12,Scroll,315,228
12,Scroll,350,228
12,Scroll,368,228
12,Scroll,371,228
12,Scroll,373,228
12,Scroll,377,228
12,Scroll,393,228
12,Scroll,408,228
12,Scroll,440,228
12,Scroll,487,228
12,Scroll,545,228
12,Scroll,609,228
12,Scroll,666,228
12,Scroll,709,228
12,Scroll,734,228
12,Scroll,742,228
12,Scroll,743,228
12,Scroll,748,229
12,Scroll,759,229
12,Scroll,793,229
12,Scroll,856,229
12,Scroll,1153,229
12,Scroll,1166,229
12,Scroll,1168,229
12,Scroll,1172,229
12,Scroll,1183,229
12,Scroll,1208,229
12,Scroll,1251,229
12,Scroll,1310,229
12,Scroll,1380,229
12,Scroll,1446,229
12,Scroll,1527,229
12,Scroll,1536,229
12,Scroll,1537,229
12,Scroll,1540,229
12,Scroll,1547,229
12,Scroll,1568,229
12,Scroll,1658,229
12,Scroll,1722,229
12,Scroll,1789,229
12,Scroll,1846,229
12,Scroll,1885,229
12,Scroll,1905,229
12,Scroll,1908,229
12,CheckHotel,hcb8,230
12,Scroll,1910,230
12,Scroll,1913,230
12,Scroll,1923,230
12,Scroll,1944,230
12,Scroll,1985,230
12,Scroll,2048,230
12,Scroll,2128,230
12,Scroll,2211,230
12,Scroll,2277,230
12,Scroll,2318,230
12,Scroll,2331,230
12,Scroll,2332,230
12,Scroll,2333,230
12,Scroll,2339,230
12,Scroll,2356,230
12,Scroll,2391,230
12,Scroll,2444,230
12,Scroll,2511,230
12,Scroll,2581,230
12,Scroll,2641,230
12,Scroll,2700,230
12,Scroll,2703,230
12,Scroll,2709,231
12,Scroll,2725,231
12,Scroll,2752,231
12,Scroll,2791,231
12,Scroll,2841,231
12,Scroll,2899,231
12,Scroll,2958,231
12,Scroll,3009,231
12,Scroll,3046,231
12,Scroll,3067,231
12,Scroll,3074,231
12,Scroll,3077,231
12,Scroll,3090,231
12,Scroll,3121,231
12,Scroll,3173,231
12,Scroll,3242,231
12,Scroll,3316,231
12,Scroll,3380,231
12,Scroll,3423,231
12,Scroll,3443,231
12,Scroll,3445,231
12,Scroll,3446,231
12,Scroll,3449,231
12,Scroll,3458,231
12,Scroll,3487,231
12,Scroll,3538,231
12,Scroll,3607,231
12,Scroll,3682,231
12,Scroll,3747,231
12,Scroll,3791,231
12,Scroll,3814,231
