IDSession,TipoEvento,Valor,Tiempo(s)
3,CheckCiudad,lcb2,1
3,Scroll,2,3
3,Scroll,8,3
3,Scroll,23,3
3,Scroll,48,3
3,Scroll,85,3
3,Scroll,193,3
3,Scroll,253,3
3,Scroll,306,3
3,Scroll,344,3
3,Scroll,365,3
3,Scroll,371,3
3,Scroll,373,3
3,Scroll,379,3
3,Scroll,393,3
3,Scroll,418,3
3,Scroll,456,3
3,Scroll,503,3
3,Scroll,550,3
3,Scroll,596,3
3,Scroll,639,3
3,Scroll,675,3
3,Scroll,704,3
3,Scroll,723,3
3,Scroll,735,3
3,Scroll,741,3
3,Scroll,742,3
3,Scroll,743,3
3,Scroll,746,3
3,Scroll,754,3
3,Scroll,772,3
3,Scroll,805,3
3,Scroll,855,3
3,Scroll,918,4
3,Scroll,986,4
3,Scroll,1045,4
3,Scroll,1087,4
3,Scroll,1108,4
3,Scroll,1113,4
3,Scroll,1115,4
3,Scroll,1122,4
3,Scroll,1139,4
3,Scroll,1173,4
3,Scroll,1225,4
3,Scroll,1294,4
3,Scroll,1371,4
3,Scroll,1444,4
3,Scroll,1498,4
3,Scroll,1529,4
3,Scroll,1537,4
3,Scroll,1539,4
3,Scroll,1545,4
3,Scroll,1559,4
3,Scroll,1584,4
3,Scroll,1623,4
3,Scroll,1673,4
3,Scroll,1728,4
3,Scroll,1784,4
3,Scroll,1838,4
3,Scroll,1886,4
3,Scroll,1922,4
3,Scroll,1946,4
3,Scroll,1958,4
3,Scroll,1961,4
3,CheckHotel,hcb7,5
3,Scroll,1962,5
3,Scroll,1966,5
3,Scroll,1973,5
3,Scroll,1989,6
3,Scroll,2017,6
3,Scroll,2057,6
3,Scroll,2106,6
3,Scroll,2159,6
3,Scroll,2208,6
3,Scroll,2245,6
3,Scroll,2269,6
3,Scroll,2278,6
3,Scroll,2279,6
3,Scroll,2282,6
3,Scroll,2290,6
3,Scroll,2305,6
3,Scroll,2330,6
3,Scroll,2366,6
3,Scroll,2409,6
3,Scroll,2457,6
3,Scroll,2508,6
3,Scroll,2557,6
3,Scroll,2598,6
3,Scroll,2627,6
3,Scroll,2644,6
3,Scroll,2649,6
3,Scroll,2650,6
3,Scroll,2653,6
3,Scroll,2663,6
3,Scroll,2686,6
3,Scroll,2722,6
3,Scroll,2766,6
3,Scroll,2817,6
3,Scroll,2871,6
3,Scroll,2923,6
3,Scroll,2967,6
3,Scroll,2998,6
3,Scroll,3015,6
3,Scroll,3020,6
3,Scroll,3021,6
3,Scroll,3022,6
3,Scroll,3026,6
3,Scroll,3035,6
3,Scroll,3052,6
3,Scroll,3081,6
3,Scroll,3120,6
3,Scroll,3169,6
3,Scroll,3222,7
3,Scroll,3269,7
3,Scroll,3306,7
3,Scroll,3329,7
3,Scroll,3338,7
3,Scroll,3339,7
3,Scroll,3342,7
3,Scroll,3347,7
3,Scroll,3356,7
3,Scroll,3369,7
3,Scroll,3386,7
3,Scroll,3406,7
3,Scroll,3427,7
3,Scroll,3448,7
3,Scroll,3466,7
3,Scroll,3479,7
3,Scroll,3489,7
3,Scroll,3494,7
3,Scroll,3495,7
