IDSession,TipoEvento,Valor,Tiempo(s)
5,CheckCiudad,lcb1,2
5,Scroll,2,2
5,Scroll,9,2
5,Scroll,26,2
5,Scroll,54,2
5,Scroll,93,2
5,Scroll,143,2
5,Scroll,196,2
5,Scroll,246,2
5,Scroll,284,2
5,Scroll,307,2
5,Scroll,317,2
5,Scroll,318,2
5,Scroll,320,2
5,Scroll,324,2
5,Scroll,334,2
5,Scroll,354,2
5,Scroll,395,2
5,Scroll,458,2
5,Scroll,536,2
5,Scroll,609,2
5,Scroll,672,2
5,Scroll,722,2
5,Scroll,758,2
5,Scroll,779,2
5,Scroll,790,2
5,Scroll,794,2
5,Scroll,795,2
5,Scroll,796,3
5,Scroll,801,3
5,Scroll,818,3
5,Scroll,852,3
5,Scroll,904,3
5,Scroll,970,3
5,Scroll,1040,3
5,Scroll,1101,3
5,Scroll,1143,3
5,Scroll,1163,3
5,Scroll,1166,3
5,Scroll,1168,3
5,Scroll,1177,3
5,Scroll,1198,3
5,Scroll,1235,3
5,Scroll,1285,3
5,Scroll,1343,3
5,Scroll,1398,3
5,Scroll,1442,3
5,Scroll,1471,3
5,Scroll,1483,3
5,Scroll,1484,3
5,CheckHotel,hcb4,4
5,Scroll,1486,5
5,Scroll,1493,5
5,Scroll,1508,5
5,Scroll,1541,5
5,Scroll,1593,5
5,Scroll,1659,5
5,Scroll,1727,5
5,Scroll,1793,5
5,Scroll,1853,5
5,Scroll,1901,5
5,Scroll,1934,5
5,Scroll,1952,5
5,Scroll,1960,5
5,Scroll,1961,5
5,Scroll,1962,5
5,Scroll,1970,5
5,Scroll,1989,5
5,Scroll,2024,5
5,Scroll,2077,5
5,Scroll,2144,5
5,Scroll,2213,5
5,Scroll,2272,5
5,Scroll,2311,5
5,Scroll,2330,5
5,Scroll,2332,5
5,Scroll,2333,5
5,Scroll,2338,5
5,Scroll,2355,5
5,Scroll,2389,5
5,Scroll,2442,5
5,Scroll,2508,5
5,Scroll,2579,5
5,Scroll,2640,5
5,Scroll,2681,5
5,Scroll,2700,5
5,Scroll,2703,5
5,Scroll,2704,6
5,Scroll,2708,6
5,Scroll,2721,6
5,Scroll,2746,6
5,Scroll,2792,6
5,Scroll,2860,6
5,Scroll,2943,6
5,Scroll,3023,6
5,Scroll,3084,6
5,Scroll,3118,6
5,Scroll,3127,6
5,Scroll,3129,6
5,Scroll,3133,6
5,Scroll,3144,6
5,Scroll,3174,6
5,Scroll,3225,6
5,Scroll,3292,6
5,Scroll,3364,6
5,Scroll,3428,6
5,Scroll,3471,6
5,Scroll,3492,6
5,Scroll,3495,6
