IDSession,TipoEvento,Valor,Tiempo(s)
7,Scroll,2,1
7,Scroll,5,1
7,Scroll,11,1
7,Scroll,18,1
7,Scroll,26,1
7,Scroll,37,1
7,Scroll,50,1
7,Scroll,66,1
7,Scroll,86,1
7,Scroll,109,1
7,Scroll,135,1
7,Scroll,165,1
7,Scroll,195,1
7,Scroll,226,1
7,Scroll,256,1
7,Scroll,285,1
7,Scroll,310,1
7,Scroll,331,1
7,Scroll,348,1
7,Scroll,359,1
7,Scroll,366,1
7,Scroll,370,1
7,Scroll,371,1
7,CheckCiudad,lcb1,2
7,Scroll,374,2
7,Scroll,381,2
7,Scroll,396,2
7,Scroll,421,2
7,Scroll,452,2
7,Scroll,489,2
7,Scroll,528,2
7,Scroll,569,2
7,Scroll,611,2
7,Scroll,651,2
7,Scroll,685,2
7,Scroll,712,2
7,Scroll,729,2
7,Scroll,739,2
7,Scroll,741,2
7,Scroll,742,2
7,Scroll,744,2
7,Scroll,749,2
7,Scroll,762,2
7,Scroll,786,2
7,Scroll,823,2
7,Scroll,866,2
7,Scroll,915,2
7,Scroll,966,2
7,Scroll,1016,2
7,Scroll,1058,2
7,Scroll,1088,2
7,Scroll,1106,2
7,Scroll,1112,2
7,Scroll,1113,2
7,Scroll,1116,2
7,Scroll,1125,2
7,Scroll,1147,2
7,Scroll,1168,3
7,Scroll,1206,3
7,Scroll,1254,3
7,Scroll,1311,3
7,Scroll,1369,3
7,Scroll,1420,3
7,Scroll,1457,3
7,Scroll,1477,3
7,Scroll,1484,3
7,CheckHotel,hcb3,3
7,Scroll,1487,3
7,Scroll,1497,3
7,Scroll,1517,3
7,Scroll,1550,3
7,Scroll,1598,3
7,Scroll,1652,3
7,Scroll,1710,4
7,Scroll,1768,4
7,Scroll,1820,4
7,Scroll,1861,4
7,Scroll,1889,4
7,Scroll,1904,4
7,Scroll,1908,4
7,Scroll,1910,4
7,Scroll,1916,4
7,Scroll,1931,4
7,Scroll,1966,4
7,Scroll,2026,4
7,Scroll,2107,4
7,Scroll,2194,4
7,Scroll,2268,4
7,Scroll,2314,4
7,Scroll,2331,4
7,Scroll,2332,4
7,Scroll,2333,4
7,Scroll,2336,4
7,Scroll,2345,4
7,Scroll,2373,4
7,Scroll,2509,4
7,Scroll,2600,4
7,Scroll,2695,4
7,Scroll,2777,4
7,Scroll,2832,4
7,Scroll,2858,4
7,Scroll,2862,4
7,Scroll,2864,4
7,Scroll,2869,4
7,Scroll,2887,4
7,Scroll,2921,4
7,Scroll,2970,4
7,Scroll,3029,4
7,Scroll,3086,4
7,Scroll,3133,4
7,Scroll,3178,4
7,Scroll,3180,4
7,Scroll,3182,5
7,Scroll,3187,5
7,Scroll,3228,5
7,Scroll,3277,5
7,Scroll,3341,5
7,Scroll,3418,5
7,Scroll,3501,5
7,Scroll,3573,5
7,Scroll,3651,5
7,Scroll,3657,5
7,Scroll,3658,5
7,Scroll,3663,5
7,Scroll,3673,5
7,Scroll,3692,5
7,Scroll,3720,5
7,Scroll,3755,5
7,Scroll,3796,5
7,Scroll,3837,5
7,Scroll,3873,5
7,Scroll,3900,5
7,Scroll,3917,5
7,Scroll,3925,5
IDSession,TipoEvento,Valor,Tiempo(s)
7,ChangeSatisfactionFace,18,2
7,ChangeSatisfactionFace,19,2
7,ChangeSatisfactionFace,20,2
7,ChangeSatisfactionFace,21,2
7,ChangeSatisfactionFace,21,2
7,ChangeSatisfactionFace,24,2
7,ChangeSatisfactionFace,25,2
7,ChangeSatisfactionFace,25,3
