IDSession,TipoEvento,Valor,Tiempo(s)
4,Scroll,3,2
4,Scroll,11,2
4,Scroll,23,2
4,Scroll,40,2
4,Scroll,61,2
4,Scroll,88,2
4,Scroll,119,2
4,Scroll,152,2
4,Scroll,186,2
4,Scroll,215,2
4,Scroll,239,2
4,Scroll,254,2
4,Scroll,263,2
4,Scroll,265,2
4,CheckCiudad,lcb1,2
4,Scroll,267,3
4,Scroll,275,3
4,Scroll,291,3
4,Scroll,319,3
4,Scroll,356,3
4,Scroll,405,3
4,Scroll,518,3
4,Scroll,569,3
4,Scroll,606,3
4,Scroll,628,3
4,Scroll,635,3
4,Scroll,636,3
4,Scroll,639,3
4,Scroll,646,3
4,Scroll,671,3
4,Scroll,716,3
4,Scroll,777,3
4,Scroll,852,3
4,Scroll,935,3
4,Scroll,1012,3
4,Scroll,1070,3
4,Scroll,1103,3
4,Scroll,1113,3
4,Scroll,1115,3
4,Scroll,1123,3
4,Scroll,1140,3
4,Scroll,1222,3
4,Scroll,1286,3
4,Scroll,1354,4
4,Scroll,1415,4
4,Scroll,1479,4
4,Scroll,1484,4
4,CheckHotel,hcb3,4
4,Scroll,1486,4
4,Scroll,1493,4
4,Scroll,1507,4
4,Scroll,1536,4
4,Scroll,1598,4
4,Scroll,1701,4
4,Scroll,1767,4
4,Scroll,1832,4
4,Scroll,1888,4
4,Scroll,1928,4
4,Scroll,1951,5
4,Scroll,1960,5
4,Scroll,1961,5
4,Scroll,1962,5
4,Scroll,1967,5
4,Scroll,1984,5
4,Scroll,2079,5
4,Scroll,2148,5
4,Scroll,2225,5
4,Scroll,2303,5
4,Scroll,2369,5
4,Scroll,2413,5
4,Scroll,2434,5
4,Scroll,2438,5
4,Scroll,2439,5
4,Scroll,2442,5
4,Scroll,2453,5
4,Scroll,2483,5
4,Scroll,2543,5
4,Scroll,2628,5
4,Scroll,2720,5
4,Scroll,2798,5
4,Scroll,2846,5
4,Scroll,2861,5
4,Scroll,2862,5
4,Scroll,2863,5
4,Scroll,2867,5
4,Scroll,2879,5
4,Scroll,2910,5
4,Scroll,2970,5
4,Scroll,3060,5
4,Scroll,3164,5
4,Scroll,3257,5
4,Scroll,3316,5
4,Scroll,3338,5
4,Scroll,3339,5
4,Scroll,3345,6
4,Scroll,3361,6
4,Scroll,3395,6
4,Scroll,3447,6
4,Scroll,3517,6
4,Scroll,3597,6
4,Scroll,3672,6
4,Scroll,3726,6
4,Scroll,3763,6
4,Scroll,3766,6
4,Scroll,3774,6
4,Scroll,3787,6
4,Scroll,3806,6
4,Scroll,3828,6
4,Scroll,3852,6
4,Scroll,3875,6
4,Scroll,3895,6
4,Scroll,3910,6
4,Scroll,3920,6
4,Scroll,3924,6
4,Scroll,3925,6
