IDSession,TipoEvento,Valor,Tiempo(s)
10,CheckCiudad,lcb2,1
10,Scroll,3,2
10,Scroll,12,2
10,Scroll,30,2
10,Scroll,59,2
10,Scroll,99,2
10,Scroll,149,2
10,Scroll,207,2
10,Scroll,265,2
10,Scroll,314,2
10,Scroll,348,2
10,Scroll,366,2
10,Scroll,371,2
10,Scroll,373,2
10,Scroll,377,2
10,Scroll,390,2
10,Scroll,419,2
10,Scroll,469,2
10,Scroll,534,2
10,Scroll,670,2
10,Scroll,715,2
10,Scroll,738,2
10,Scroll,742,2
10,Scroll,744,2
10,Scroll,750,2
10,Scroll,760,2
10,Scroll,777,2
10,Scroll,803,3
10,Scroll,837,3
10,Scroll,877,3
10,Scroll,917,3
10,Scroll,953,3
10,Scroll,981,3
10,Scroll,998,3
10,Scroll,1006,3
10,Scroll,1007,3
10,Scroll,1008,3
10,Scroll,1012,3
10,Scroll,1022,3
10,Scroll,1040,3
10,Scroll,1065,3
10,Scroll,1095,3
10,Scroll,1128,3
10,Scroll,1160,3
10,Scroll,1186,3
10,Scroll,1204,3
10,Scroll,1215,3
10,Scroll,1219,3
10,Scroll,1220,3
10,Scroll,1223,3
10,Scroll,1231,3
10,Scroll,1249,3
10,Scroll,1284,3
10,Scroll,1335,3
10,Scroll,1400,3
10,Scroll,1468,3
10,Scroll,1526,3
10,Scroll,1567,3
10,Scroll,1587,3
10,Scroll,1590,3
10,Scroll,1593,3
10,Scroll,1599,3
10,Scroll,1615,3
10,Scroll,1642,3
10,Scroll,1681,3
10,Scroll,1731,3
10,Scroll,1785,3
10,Scroll,1873,4
10,Scroll,1897,4
10,Scroll,1907,4
10,Scroll,1908,4
10,CheckHotel,hcb7,4
10,Scroll,1909,4
10,Scroll,1913,4
10,Scroll,1925,4
10,Scroll,1951,5
10,Scroll,2115,5
10,Scroll,2183,5
10,Scroll,2246,5
10,Scroll,2293,5
10,Scroll,2321,5
10,Scroll,2331,5
10,Scroll,2332,5
10,Scroll,2334,5
10,Scroll,2341,5
10,Scroll,2358,5
10,Scroll,2387,5
10,Scroll,2428,5
10,Scroll,2478,5
10,Scroll,2532,5
10,Scroll,2581,5
10,Scroll,2618,5
10,Scroll,2641,5
10,Scroll,2649,5
10,Scroll,2650,5
10,Scroll,2653,5
10,Scroll,2664,5
10,Scroll,2688,5
10,Scroll,2728,5
10,Scroll,2783,5
10,Scroll,2848,5
10,Scroll,2913,5
10,Scroll,2967,5
10,Scroll,3003,5
10,Scroll,3019,5
10,Scroll,3021,5
10,Scroll,3024,5
10,Scroll,3031,5
10,Scroll,3054,5
10,Scroll,3092,5
10,Scroll,3144,5
10,Scroll,3203,5
10,Scroll,3258,5
10,Scroll,3301,5
10,Scroll,3328,5
10,Scroll,3338,5
10,Scroll,3339,5
10,Scroll,3340,6
10,Scroll,3344,6
10,Scroll,3354,6
10,Scroll,3369,6
10,Scroll,3389,6
10,Scroll,3412,6
10,Scroll,3438,6
10,Scroll,3462,6
10,Scroll,3483,6
10,Scroll,3499,6
10,Scroll,3509,6
10,Scroll,3513,6
10,Scroll,3514,6
