IDSession,TipoEvento,Valor,Tiempo(s)
13,CheckCiudad,lcb2,3
13,Scroll,3,4
13,Scroll,9,4
13,Scroll,26,4
13,Scroll,57,4
13,Scroll,103,4
13,Scroll,159,4
13,Scroll,216,5
13,Scroll,264,5
13,Scroll,298,5
13,Scroll,315,5
13,Scroll,318,5
13,Scroll,321,5
13,Scroll,330,5
13,Scroll,348,5
13,Scroll,380,5
13,Scroll,426,5
13,Scroll,486,5
13,Scroll,551,5
13,Scroll,611,5
13,Scroll,662,5
13,Scroll,700,5
13,Scroll,724,5
13,Scroll,737,5
13,Scroll,741,5
13,Scroll,742,5
13,Scroll,745,5
13,Scroll,755,5
13,Scroll,779,5
13,Scroll,818,5
13,Scroll,872,5
13,Scroll,937,5
13,Scroll,1002,5
13,Scroll,1057,5
13,Scroll,1093,5
13,Scroll,1111,5
13,Scroll,1113,5
13,Scroll,1115,5
13,Scroll,1120,5
13,Scroll,1132,5
13,Scroll,1163,5
13,Scroll,1213,5
13,Scroll,1280,5
13,Scroll,1353,5
13,Scroll,1416,5
13,Scroll,1459,6
13,Scroll,1481,6
13,Scroll,1484,6
13,Scroll,1487,6
13,Scroll,1493,6
13,Scroll,1509,6
13,Scroll,1542,6
13,Scroll,1593,6
13,Scroll,1658,6
13,Scroll,1728,6
13,Scroll,1788,6
13,Scroll,1831,6
13,Scroll,1851,6
13,Scroll,1855,6
13,CheckHotel,hcb6,6
13,CheckHotel,hcb8,8
13,Scroll,1856,9
13,Scroll,1858,9
13,Scroll,1870,9
13,Scroll,1898,9
13,Scroll,1939,9
13,Scroll,1994,9
13,Scroll,2057,9
13,Scroll,2120,9
13,Scroll,2172,9
13,Scroll,2207,9
13,Scroll,2223,9
13,Scroll,2226,9
13,Scroll,2229,9
13,Scroll,2235,10
13,Scroll,2255,10
13,Scroll,2292,10
13,Scroll,2347,10
13,Scroll,2414,10
13,Scroll,2483,10
13,Scroll,2540,10
13,Scroll,2578,10
13,Scroll,2595,10
13,Scroll,2597,10
13,Scroll,2600,18
13,Scroll,2608,18
13,Scroll,2629,18
13,Scroll,2664,18
13,Scroll,2712,18
13,Scroll,2768,18
13,Scroll,2823,18
13,Scroll,2869,18
13,Scroll,2899,18
13,Scroll,2913,18
13,Scroll,2915,18
13,Scroll,2919,18
13,Scroll,2929,18
13,Scroll,2945,18
13,Scroll,2971,18
13,Scroll,3013,18
13,Scroll,3067,18
13,Scroll,3130,18
13,Scroll,3239,18
13,Scroll,3270,18
13,Scroll,3284,18
13,Scroll,3286,18
13,Scroll,3290,18
13,Scroll,3299,18
13,Scroll,3327,18
13,Scroll,3378,18
13,Scroll,3449,18
13,Scroll,3533,18
13,Scroll,3613,18
13,Scroll,3703,18
13,Scroll,3710,18
13,Scroll,3713,18
13,Scroll,3718,18
13,Scroll,3726,18
13,Scroll,3736,18
13,Scroll,3749,18
13,Scroll,3764,18
13,Scroll,3790,18
13,Scroll,3800,18
13,Scroll,3808,18
13,Scroll,3812,19
13,Scroll,3813,19
13,Scroll,3814,19
