IDSession,TipoEvento,Valor,Tiempo(s)
8,CheckCiudad,lcb2,3
8,Scroll,1,3
8,Scroll,4,3
8,Scroll,11,3
8,Scroll,26,3
8,Scroll,55,3
8,Scroll,101,3
8,Scroll,161,3
8,Scroll,219,3
8,Scroll,275,3
8,Scroll,324,3
8,Scroll,364,3
8,Scroll,392,3
8,Scroll,410,3
8,Scroll,420,3
8,Scroll,423,3
8,Scroll,424,3
8,Scroll,426,3
8,Scroll,435,4
8,Scroll,454,4
8,Scroll,490,4
8,Scroll,541,4
8,Scroll,597,4
8,Scroll,657,4
8,Scroll,717,4
8,Scroll,770,4
8,Scroll,810,4
8,Scroll,835,4
8,Scroll,846,4
8,Scroll,848,4
8,Scroll,849,4
8,Scroll,854,4
8,Scroll,869,4
8,Scroll,896,4
8,Scroll,937,4
8,Scroll,990,4
8,Scroll,1051,4
8,Scroll,1112,4
8,Scroll,1164,4
8,Scroll,1198,4
8,Scroll,1216,4
8,Scroll,1219,4
8,Scroll,1220,4
8,Scroll,1223,4
8,Scroll,1230,4
8,Scroll,1245,4
8,Scroll,1271,4
8,Scroll,1307,4
8,Scroll,1350,4
8,Scroll,1398,4
8,Scroll,1449,4
8,Scroll,1498,4
8,Scroll,1538,4
8,Scroll,1567,4
8,Scroll,1583,4
8,Scroll,1589,4
8,Scroll,1590,4
8,CheckHotel,hcb6,5
8,Scroll,1591,6
8,Scroll,1593,6
8,Scroll,1597,6
8,Scroll,1604,6
8,Scroll,1613,6
8,Scroll,1629,6
8,Scroll,1654,6
8,Scroll,1688,6
8,Scroll,1733,6
8,Scroll,1785,6
8,Scroll,1835,6
8,Scroll,1957,6
8,Scroll,1982,6
8,Scroll,1999,6
8,Scroll,2008,6
8,Scroll,2013,6
8,Scroll,2014,6
8,Scroll,2016,6
8,Scroll,2022,6
8,Scroll,2036,6
8,Scroll,2063,6
8,Scroll,2102,6
8,Scroll,2146,6
8,Scroll,2195,6
8,Scroll,2247,6
8,Scroll,2295,6
8,Scroll,2335,6
8,Scroll,2363,6
8,Scroll,2379,6
8,Scroll,2384,6
8,Scroll,2385,7
8,Scroll,2388,7
8,Scroll,2399,7
8,Scroll,2425,7
8,Scroll,2465,7
8,Scroll,2520,7
8,Scroll,2584,7
8,Scroll,2649,7
8,Scroll,2702,7
8,Scroll,2737,7
8,Scroll,2754,7
8,Scroll,2756,7
8,Scroll,2757,7
8,Scroll,2763,7
8,Scroll,2788,7
8,Scroll,2839,7
8,Scroll,2909,7
8,Scroll,2987,7
8,Scroll,3056,7
8,Scroll,3103,7
8,Scroll,3124,7
8,Scroll,3127,7
8,Scroll,3131,7
8,Scroll,3142,7
8,Scroll,3162,7
8,Scroll,3192,7
8,Scroll,3230,7
8,Scroll,3273,7
8,Scroll,3314,7
8,Scroll,3349,7
8,Scroll,3374,7
8,Scroll,3388,7
8,Scroll,3392,7
8,Scroll,3395,8
8,Scroll,3400,8
8,Scroll,3407,8
8,Scroll,3417,8
8,Scroll,3430,8
8,Scroll,3444,8
8,Scroll,3460,8
8,Scroll,3475,8
8,Scroll,3488,8
8,Scroll,3499,8
8,Scroll,3507,8
8,Scroll,3512,8
8,Scroll,3513,8
8,Scroll,3514,8
