IDSession,TipoEvento,Valor,Tiempo(s)
2,CheckCiudad,lcb1,2
2,Scroll,4,2
2,Scroll,15,2
2,Scroll,35,2
2,Scroll,65,3
2,Scroll,104,3
2,Scroll,150,3
2,Scroll,203,3
2,Scroll,256,3
2,Scroll,304,3
2,Scroll,339,3
2,Scroll,361,3
2,Scroll,370,3
2,Scroll,371,3
2,Scroll,374,3
2,Scroll,381,3
2,Scroll,394,3
2,Scroll,416,3
2,Scroll,446,3
2,Scroll,485,3
2,Scroll,532,3
2,Scroll,580,3
2,Scroll,623,3
2,Scroll,657,3
2,Scroll,678,3
2,Scroll,688,3
2,Scroll,689,3
2,Scroll,690,3
2,Scroll,696,3
2,Scroll,712,3
2,Scroll,738,3
2,Scroll,771,3
2,Scroll,811,3
2,Scroll,856,3
2,Scroll,902,3
2,Scroll,944,3
2,Scroll,975,3
2,Scroll,996,3
2,Scroll,1005,3
2,Scroll,1007,3
2,CheckHotel,hcb1,4
2,Scroll,1012,4
2,Scroll,1026,4
2,Scroll,1056,4
2,Scroll,1106,4
2,Scroll,1173,4
2,Scroll,1245,4
2,Scroll,1308,4
2,Scroll,1352,4
2,Scroll,1374,4
2,Scroll,1378,4
2,Scroll,1379,4
2,Scroll,1383,4
2,Scroll,1394,4
2,Scroll,1414,4
2,Scroll,1444,4
2,Scroll,1481,4
2,Scroll,1523,4
2,Scroll,1564,4
2,Scroll,1598,4
2,Scroll,1624,4
2,Scroll,1638,4
2,Scroll,1643,4
2,Scroll,1646,4
2,Scroll,1657,5
2,Scroll,1682,5
2,Scroll,1723,5
2,Scroll,1777,5
2,Scroll,1836,5
2,Scroll,1889,5
2,Scroll,1929,5
2,Scroll,1953,5
2,Scroll,1960,5
2,Scroll,1961,5
2,Scroll,1964,5
2,Scroll,1970,5
2,Scroll,1986,5
2,Scroll,2028,5
2,Scroll,2098,5
2,Scroll,2188,5
2,Scroll,2277,5
2,Scroll,2343,5
2,Scroll,2378,5
2,Scroll,2385,5
2,Scroll,2411,5
2,Scroll,2466,5
2,Scroll,2548,5
2,Scroll,2650,5
2,Scroll,2753,5
2,Scroll,2840,5
2,Scroll,2900,5
2,Scroll,2930,5
2,Scroll,2935,5
2,Scroll,2968,5
2,Scroll,3027,5
2,Scroll,3113,6
2,Scroll,3216,6
2,Scroll,3318,6
2,Scroll,3402,6
2,Scroll,3457,6
2,Scroll,3482,6
2,Scroll,3485,6
2,Scroll,3492,6
2,Scroll,3517,6
2,Scroll,3557,6
2,Scroll,3611,6
2,Scroll,3670,6
2,Scroll,3723,6
2,Scroll,3763,6
2,Scroll,3786,6
2,Scroll,3793,6
