IDSession,TipoEvento,Valor,Tiempo(s)
11,CheckCiudad,lcb2,1
11,Scroll,2,1
11,Scroll,7,1
11,Scroll,15,1
11,Scroll,26,1
11,Scroll,42,1
11,Scroll,64,1
11,Scroll,92,1
11,Scroll,124,1
11,Scroll,159,1
11,Scroll,194,1
11,Scroll,223,1
11,Scroll,245,1
11,Scroll,258,1
11,Scroll,264,1
11,Scroll,265,1
11,Scroll,270,1
11,Scroll,283,1
11,Scroll,309,1
11,Scroll,348,1
11,Scroll,400,1
11,Scroll,461,1
11,Scroll,523,1
11,Scroll,576,1
11,Scroll,612,1
11,Scroll,632,1
11,Scroll,636,1
11,Scroll,639,1
11,Scroll,647,1
11,Scroll,662,1
11,Scroll,682,2
11,Scroll,709,2
11,Scroll,740,2
11,Scroll,800,2
11,Scroll,822,2
11,Scroll,838,2
11,Scroll,846,2
11,Scroll,848,2
11,Scroll,849,2
11,Scroll,855,2
11,Scroll,871,2
11,Scroll,897,2
11,Scroll,931,2
11,Scroll,1012,2
11,Scroll,1057,2
11,Scroll,1097,2
11,Scroll,1129,2
11,Scroll,1151,2
11,Scroll,1163,2
11,Scroll,1166,2
11,Scroll,1167,2
11,Scroll,1170,2
11,Scroll,1177,2
11,Scroll,1189,2
11,Scroll,1206,2
11,Scroll,1226,2
11,Scroll,1249,2
11,Scroll,1271,2
11,Scroll,1291,2
11,Scroll,1307,2
11,Scroll,1323,2
11,Scroll,1325,2
11,Scroll,1327,2
11,Scroll,1332,2
11,Scroll,1344,2
11,Scroll,1363,2
11,Scroll,1415,2
11,Scroll,1448,3
11,Scroll,1483,3
11,Scroll,1556,3
11,Scroll,1587,3
11,Scroll,1613,3
11,Scroll,1630,3
11,Scroll,1639,3
11,Scroll,1642,3
11,Scroll,1643,3
11,Scroll,1645,3
11,Scroll,1649,3
11,Scroll,1654,3
11,Scroll,1660,3
11,Scroll,1675,3
11,Scroll,1682,3
11,Scroll,1688,3
11,Scroll,1692,3
11,Scroll,1695,3
11,Scroll,1696,3
11,CheckHotel,hcb8,3
11,Scroll,1699,5
11,Scroll,1708,5
11,Scroll,1729,5
11,Scroll,1764,5
11,Scroll,1807,5
11,Scroll,1911,5
11,Scroll,1963,5
11,Scroll,2008,5
11,Scroll,2040,5
11,Scroll,2059,5
11,Scroll,2066,5
11,Scroll,2067,5
11,Scroll,2069,5
11,Scroll,2074,5
11,Scroll,2087,5
11,Scroll,2107,5
11,Scroll,2136,5
11,Scroll,2173,5
11,Scroll,2218,5
11,Scroll,2265,5
11,Scroll,2310,5
11,Scroll,2346,5
11,Scroll,2370,5
11,Scroll,2382,5
11,Scroll,2385,5
11,Scroll,2388,5
11,Scroll,2398,5
11,Scroll,2429,5
11,Scroll,2480,5
11,Scroll,2550,5
11,Scroll,2632,5
11,Scroll,2769,5
11,Scroll,2801,5
11,Scroll,2809,5
11,Scroll,2813,5
11,Scroll,2824,5
11,Scroll,2853,5
11,Scroll,2902,5
11,Scroll,2960,5
11,Scroll,3087,5
11,Scroll,3145,5
11,Scroll,3189,5
11,Scroll,3218,5
11,Scroll,3231,6
11,Scroll,3233,6
11,Scroll,3238,6
11,Scroll,3251,6
11,Scroll,3281,6
11,Scroll,3398,6
11,Scroll,3470,6
11,Scroll,3534,6
11,Scroll,3578,6
11,Scroll,3604,6
11,Scroll,3606,6
11,Scroll,3615,6
11,Scroll,3626,6
11,Scroll,3643,6
11,Scroll,3665,6
11,Scroll,3719,6
11,Scroll,3747,6
11,Scroll,3772,6
11,Scroll,3792,6
11,Scroll,3805,6
11,Scroll,3812,6
11,Scroll,3814,6
